අ,පැමිණි
අග,ප්‍රථම
අගත,පැමිණි
අගතන,(අබි)අනුරාධි
අගතමගත,
අගතශෙ,
අගත්,
අගතානාගත,පැමිණි හා නොපැමිණි
අගබල,අග්‍රබලය
අගි,ගිනි
අගිදතහ,
අගිදෙවශ,
අගිබුතිනො,
අගිය,ඇගෑ
අගියහ,
අඝත,
අච,අශ්ව
අචගිරික,අස්ගිරි
අචරිය,ඇදුරා
අචරියහ,
අචිරිය,ඇදුරු
අචිරියහ,
අජරිය,ඇදුරා
අට,අට
අටක,
අටදශ,අටළොස
අටය,පිණිස
අටයෙ,පිණිස
අටෙයෙ,
අඨය,පිණිස
අඩ,භාගය
අඩචදෙ,
අඩි,ඇළ
අඩිකය,වාරි කාර්මිකයා
අඩිය,ඇළ
අඩිවි,අධිකාරි
අණණික,වාරි මාර්ග විශේෂඥ
අණිකට,අශ්වාරෝහක හමුදා නිලධාරි
අණිකටශ,
අති,ඇතුළත
අතිමතකහ,
අතිරෙක,ඉතුරු
අතිවශික,අතවැසි
අතෙවශික,අතවැසි
අදක,අධිකාරි
අදකචක,
අදකහ,
අදික,
අදෙක,අධිකාරි
අදෙකහ,
අනග,පැමිණි
අනගත,නොපැමිණි හෝ මතු
අනගතශ,
අනද,
අනාගත,
අනු,උප
අනුඩි,අනුරාධා
අනුඩිගමශි,
අනුඩිය,
අනුරද,අනුරාධ
අනුරදශ,
අනුරදහ,
අනුරදි,
අනුරදිය,
අනුරිදිය,
අනුළපි,
අනුළයහ,
අනොතත,අනවතප්ත
අනොදි,අනවද්‍ය
අපය,ස්වාමියා
අපර,තවත්
අපරිමිත,සීමා රහිත
අපි,වැව
අපු,
අබ,භාර්යාව
අබක,අඹු
අබගමිය,
අබතොට,
අබය,නිර්භීත
අබයශ,
අබයස,
අබයහ,
අබයෙ,
අබල,ඇඹුල්
අබවෙලකෙ,
අබහ,අබය
අබි,කුමාරිය
අබිඣි,
අබිඣිගුතහ,
අබිඣිතය,
අබිඣිය,අබිජිත් නැකත
අභය,සමාව දීම
අභිඣිය,
අමතය,අමාත්‍යයා
අමතහ,
අමතිහ,
අමතෙ,අමාත්‍ය
අමරහ,
අය,පැමිණි
අයක,ආදායම් එකතු කරන්නා
අයකශ,
අයද,අයෝධයා
අයබය,
අයහ,අසුබ
අයිබර,ඉඹුරු
අයිමර,වෛදික දෙවිකෙනෙකි
අයිමරහ,
අයෙ,
