No,සෙල්ලිපි අංකය,අක්ෂර පරිවර්තනය
1,6,තිශ-ශමනිය ලෙ​නෙ ශගශ
2,8,උපශික-තිශය ලෙනෙ
3,35,මනපදශනෙ තිශබුතිය
4,45,ශුමනගුතශ ලෙනෙ ශගශ
5,55,ශොණගුත-තෙරශ ලෙණෙ ශගශ
6,63,බඩකරික-පරුමක-සෙනහ ලෙණෙ සගස
7,69,පකර-අදෙක ශමුදහ ලෙණෙ ශගශ
8,74,(1) මණිකර-මලගුතහ(2) පදග[ඩිනි]
9,104,[1] පරුමක-උති-පුතහ පරුමක-ශුමහ ලෙණෙ ශගශ
10,123,[4] ගපති-වෙලු-පුතන තිණි-බතිකණ ශගශ බත-දතහ ලෙණෙ
11,127,[8] (1) පරුමක-චනිශත-ශුමන-පුතහ පරුමක-පටකණ-ශතශ(2) ශගස
12,128,[10] බත-නගහ ලෙණෙ
13,129,[12] පරුමක-තිශ-පුතහ ලෙණෙ ශගශ දුතකහ
14,131,[9] බත-නගහ ලෙණෙ ශගශ මතලිගමික-පුත ගමික-තිශහ ලෙණෙ
15,132,[13] බත-නගහ ලෙණෙ ශගශ
16,133,[14] [න]ගහ ලෙණෙ ශගශ
17,137,බරත-තිශ-ගුතහ ලෙණෙ ශගශ
18,143,[1] ගපති-ගුටක-තිශ-පුතහ යටි-උතිරික-මහතිශහ ලෙණෙ
19,147,[1] බත-අබිඣිගුතහ ලෙණෙ
20,148,[2] පරුමක-දත-ඣිත පරුමක-බගිනිය-නදිකශ ඣය පරුමකලු-ශමණය ලෙණ‌ෙ අගත-අනගත චතු-දිශ-ශගශ දිනෙ
21,150,[4]ගමික-නග-පුත-ශුමනහ ලෙණ‌ෙ පටකෙ ශයෙ
22,151,[5] (1) ශුමන-තෙරහ ලෙණ‌ෙ(2) ශගශ
23,152,[6] පරුමක-ශිවහ ලෙණ‌ෙ චතු-[දි]ශ-ශගශ
24,153,[7] පරුමක-ශිවහ ලෙණ‌ෙ ශගශ
25,155,[9] අනද-තෙරහ ලෙණ‌ෙ ශගශ
26,160,[14] චලල-ලෙණ‌ෙ නම අගත-අනගත-චතු-දිශ-ශගශ
27,162,(1) පරුමක-ශබ-පුත උපශක-රකිය ලෙණ‌ෙ(2) අගත-අනාගත- (3) චතු-දිශ-ශගශ
28,163,පරුමක-ශොණහ ශගශ
29,167,[2] (1) බත-මිතදෙවහ ලෙණ‌ෙ(2) බත-මිතදෙවහ ලෙණ‌ෙ මනපදශනෙ අගත-අනගත චතු-දිශ-ශගශ දිනි
30,168,[3](1) එරකපි-ගමික-පුත ගමික තිශ-පුති උතිය ලෙණ‌ෙ අගත-අනගත-චතු-දිශ-ශගශ දිනි(2) දමරඣශ උපට (සංකේත අංක15සහ16b)
31,169,[4] පරුමක-වෙලු-පුතන ලෙණ‌ෙ අගත-අනගත චතු-දිශ-ශගශ
32,170,[1] පරුමක-උපලි-පුත පරුමක-චතහ ලෙණ‌ෙ
33,174,[5] පරෙමක-ඉශිගුතහ ලෙණ‌ෙ ශගශ
34,178,[2] දනතක-ගමික-පුත ගමික-තිශහ ඣය උපශික-මගිලය ලෙණ‌ෙ ශගිකෙ
