සෙල්ලිපි අංකය,අක්ෂර පරිවර්තනය,පරිවර්තනය
77,(1) අණිකට-ශොණ-පිතහ බරිය [උ]පශික-ති[ශ]ය ලෙණෙ(2) අගත-අනගත-චතු-දිශ-ශගශ,"අශ්වාරෝහක ශොණගේ පියාගේ බිරිද වූ තිස්සා උපාසිකාවගේ ලෙණ, පැමිණි නොපැමිණි සිව්දිග සංඝයාටයි"
76,දමරකිත තෙරශ,ධම්මරක්කිත තෙරණුවන්ගේ
78,(1) පරුමක-පලිකද-පුත (2) පරුමක-පලිකද-පුත උපසක-හරුමස ලෙණෙ චතු-දිස ශගස,"පරුමක පලිකදගේ පුත්, පරුමක පලිකදගේ පුත් උපාසක හරුමගේ ලෙණ සිව්දිග සංඝයාටයි"
79,(1) පරුමක-පලිකදස බරිය (2) පරුමක-ශුරකිත-ක්ධි ත උපශික-චිතය ලෙණෙ ශගශ චතු-දිශ,"ප්‍රමුඛ පලිකදගේ භාර්යාව වූ ද, පරශි මුඛ සුරක්ඛිතගේ දියණිය වූ උපාසිකා චිත්තාගේ ලෙණ සිව්දිග සංඝයාටයි"
80,තලදර-නගය-පුත-දෙවහ ලෙණෙ අගත-අනගත-චතු-දිශ-ශගශ,රන්කරු නගයගේ පුත් දේවගේ ලෙණ පැමිණි නො පැමිණි සිව් දිග සංඝයාටයි
81,පරුමක-පලිකද-පුත පරුමක-මහ-හරුමස ලෙණෙ චතු-දිස-ශගශ(සංකේතය),පර8ක මුඛ පලිකදගේ පුත් පරුමකමුඛ මහ-හරුමගේ ලෙණ සිව්දිග සංඝයාටයි
82,පරුමක-පලිකද-පුත-හරුමහ ඣය තිශය ලෙණෙ ශගශ,පරුම මුඛ පලිකදගේ පුත් හරුමගේ භාර්යාව වූ තිස්සාගෙ ලෙණ සංඝයාටයි
83,ශොණුතර-කුලහ මරුමකනෙ ශුමනහ පුතෙ සොණුතරහ ලෙණෙ,"ශෝනුත්තර පවුලේ මුණුපුරු වූ ද, සුමනගේ පුත් වූ ද සෝණුත්තරගේ ලෙණ"
84,උපශක-වමකරක-තිශහ ලෙණෙ,උපාසක ආයුධ නිෂ්පාදක තිස්සගේ ලෙණ
85,ගපති-නග-පුත-තිශහ ලෙනෙ ශගශ,ගෘහපති නාගගේ පුත් තිස්සගේ ලෙණ සංඝයාටයි
86,ගණ-චොදක-දතහ ලෙණෙ ශගශ,සංස්ථා අධ්යනක්ෂදක දත්තගේ ලෙණ සංඝයාටයි
