word,meaning,සෙල්ලිපි අංකය
,,6
තිශ,තිස්සා,6
ශමනිය,භික්ෂුණියගේ,6
ලෙ​නෙ,ලෙන,6
ශගශ,සංඝයාට,6
,,8
උපශික,උපාසිකා,8
තිශය,තිස්සාගේ,8
ලෙනෙ,ලෙන,8
,,35
මනපදශනෙ,තිස්සභූතිගේ,35
තිශබුතිය,මනාපදස්සන,35
,,45
ශුමනගුතශ,සුමනගුත්තගේ,45
ලෙනෙ,ලෙන,45
ශගශ,සංඝයාට,45
,,55
ශොණගුත,සොණගුත්ත,55
තෙරශ,තෙරුණ්ගේ,55
ලෙණෙ,ලෙ​ණේ,55
ශගශ,සංඝයාට,55
,,63
බඩකරික,භාණ්ඩාගාරික,63
පරුමක,ප්‍රමුඛ,63
සෙනහ,සෙනගේ,63
ලෙණෙ,ල‌​ණේ,63
සගස,සංඝයාට,63
,,69
පකර,මාර්ග,69
අදෙක,අධ්‍යක්ෂක,69
ශමුදහ,සමුද්දගේ,69
ලෙණෙ,ල‌​ණෙ,69
ශගශ,සංඝයාට,69
,,74
මණිකර,මිණිවඩු,74
මලගුතහ,මූලගුත්තගේ,74
පදග[ඩිනි],පියගැටපෙළ,74
,,104
පරුමක,ප්‍රමුඛ,104
උති,උත්තියගේ,104
පුතහ,පුත්,104
පරුමක,වූ,104
ශුමහ,ප්‍රමුඛ,104
ලෙණෙ,සුම්මගේ,104
ශගශ,ලෙණ,104
,,123
ගපති,ගෘහපති,123
වෙලු,වෙලුගේ,123
පුතන,පුතුන්,123
තිණි,වන,123
බතිකණ,සහෝදරයින්,123
ශගශ,තිදෙනාගේ,123
බත,සංඝයාට,123
දතහ,.,123
ලෙණෙ,ස්වාමි,123
,,127
පරුමක,ප්‍රමුඛ,127
චනිශත,චනිසත,127
ශුමන,සුමනගේ,127
පුතහ,පුත්,127
පරුමක,වන,127
පටකණ,ප්‍රමුඛ,127
ශතශ,පටකණ,127
ශගස,සතගේ,127
,,128
බත,ස්වාමි,128
නගහ,නාගගේ,128
ලෙණෙ,ලෙණ‌,128
,,129
පරුමක,ප්‍රමුඛ,129
තිශ,තිස්සගේ,129
පුතහ,පුතුගේ,129
ලෙණෙ,ලෙණ‌,129
ශගශ,සංඝයාට,129
දුතකහ,දූතයාගේ,129
,,131
බත,ස්වාමි,131
නගහ,නාගගේ,131
ලෙණෙ,ලෙණ,131
ශගශ,සංඝයාට,131
මතලිගමික,.,131
පුත,මාතලිගාම,131
ගමික,හි,131
තිශහ,ගම,131
ලෙණෙ,ප්‍රධානිගේ,131
,,132
බත,ස්වාමි,132
නගහ,නාගගේ,132
ලෙණෙ,ලෙණ‌,132
ශගශ,සංඝයාට,132
,,133
[න]ගහ,නාගගේ,133
ලෙණෙ,ලෙණ‌,133
ශගශ,සංඝයාට,133
,,137
බරත,ස්වාමි,137
තිශ,තිස්සගුත්තගේ,137
ගුතහ,ලෙණ‌,137
ලෙණෙ,සංඝයාට,137
,,143
ගපති,ගෘහපති,143
ගුටක,ගුටක,143
තිශ,තිස්සගේ,143
පුතහ,පුත්,143
යටි,වන,143
උතිරික,යටි-උතිරික,143
මහතිශහ,මහාතිස්සගේ,143
ලෙණෙ,ලෙණ‌.,143
,,147
බත,ස්වාමි,147
අබිඣිගුතහ,අභිජි-ගුත්තගේ,147
ලෙණෙ,ලෙණ‌,147
,,148
පරුමක,ප්‍රමුඛ,148
දත,දත්තගේ,148
ඣිත,දියණිය,148
පරුමක,ප්‍රමුඛගේ,148
බගිනිය,සොයුරියගේ,148
නදිකශ,පුත්,148
ඣය,නන්දිකගේ,148
පරුමකලු,භාර්යාව,148
ශමණය,වන,148
ලෙණ‌ෙ,ප්‍රමුඛාවිය,148
අගත,සමණගේ,148
අනගත,ලෙණ,148
චතු,පැමිණියාවූත්,148
දිශ,නොපැමිණියාවූත්,148
ශගශ,සතරදෙස,148
දිනෙ,සංඝයාට,148
,,150
ගමික,ගම්,150
නග,ප්‍රධානි,150
පුත,නාගගේ,150
ශුමනහ,පුත්,150
ලෙණ‌ෙ,වන,150
පටකෙ,සුමනගේ,150
ශයෙ,ලෙණ‌.,150
,,151
ශුමන,සුමන,151
තෙරහ,තෙරුණ්ගේ,151
ලෙණ‌ෙ,ලෙණ‌,151
ශගශ,සංඝයාට,151
,,152
පරුමක,ප්‍රමුඛ,152
ශිවහ,සිවගේ,152
ලෙණ‌ෙ,ලෙණ‌,152
චතු,සතරදිග,152
[දි]ශ,සංඝයාට,152
ශගශ,දෙන,152
,,153
පරුමක,ප්‍රමුඛ,153
ශිවහ,සිවගේ,153
ලෙණ‌ෙ,ලෙණ‌,153
ශගශ,සංඝයාට,153
,,155
අනද,ආනන්ද,155
තෙරහ,තෙරුණ්ගේ,155
ලෙණ‌ෙ,ලෙණ‌,155
ශගශ,සංඝයාට,155
,,160
චලල,චලල,160
ලෙණ‌ෙ,නම්,160
නම,ලෙණ‌,160
අගත,පැමිණියාවූත්,160
අනගත,නොපැමිණියාවූත්,160
චතු,සතරදෙස,160
දිශ,සංඝයාට,160
ශගශ,.,160
,,162
පරුමක,ප්‍රමුඛ,162
ශබ,සබගේ,162
පුත,පුත්,162
උපශක,වන,162
රකිය,උපාසක,162
ලෙණ‌ෙ,රකිගේ,162
අගත,ලෙණ‌,162
අනාගත,පැමිණියාවූත්,162
චතු,නොපැමිණියාවූත්,162
දිශ,සංඝයාට,162
ශගශ,සතරදිග,162
,,163
පරුමක,ප්‍රමුඛ,163
ශොණහ,සොණගේ,163
ශගශ,සංඝයාට,163
,,167
බත,ස්වාමි,167
මිතදෙවහ,මිත්තදේවගේ,167
ලෙණ‌ෙ,ලෙණ‌.,167
බත,ස්වාමි,167
මිතදෙවහ,මිත්තදේවගේ,167
ලෙණ‌ෙ,මනාපදස්සන,167
මනපදශනෙ,නම්,167
අගත,ලෙණ‌,167
අනගත,පැමිණියාවූත්,167
චතු,නොපැමිණියාවූත්,167
දිශ,සතරදෙස,167
ශගශ,සංඝයාට,167
දිනි,දෙන,167
,,168
එරකපි,එරකපිහි,168
ගමික,ගම්,168
පුත,ප්‍රධානිගේ,168
ගමික,පුත්,168
තිශ,වන,168
පුති,ගම්,168
උතිය,ප්‍රධානි,168
ලෙණ‌ෙ,තිස්සගේ,168
අගත,පුත්,168
අනගත,වන,168
චතු,උත්තියගේ,168
දිශ,ලෙණ‌,168
ශගශ,පැමිණියාවූත්,168
දිනි,නොපමිනියවූත්,168
දමරඣශ,සතරදෙස,168
උපට,සංඝයාට,168
(සංකේත,දෙන,168
අංක15සහ16b),ලදී.,168
,,169
පරුමක,ප්‍රමුඛ,169
වෙලු,වෙලුගේ,169
පුතන,පුතුන්ගේ,169
ලෙණ‌ෙ,ලෙණ‌,169
අගත,පැමිණියාවූත්,169
අනගත,නොපැමිණියාවූත්,169
චතු,සතරදෙස,169
දිශ,සංඝයාට,169
ශගශ,.,169
,,170
පරුමක,ප්‍රමුඛ,170
උපලි,උපාලිගේ,170
පුත,පුත්,170
පරුමක,වන,170
චතහ,ප්‍රමුඛ,170
ලෙණ‌ෙ,චත්තගේ,170
,,174
පරෙමක,ප්‍රමුඛ,174
ඉශිගුතහ,ඉසිගුත්තගේ,174
ලෙණ‌ෙ,ලෙණ‌,174
ශගශ,සංඝයාට,174
,,178
දනතක,ගම්,178
ගමික,ප්‍රධානි,178
පුත,දනකතගේ,178
ගමික,පුත්,178
තිශහ,වන,178
ඣය,ගම්,178
උපශික,ප්‍රධානි,178
මගිලය,තිස්සගේ,178
ලෙණ‌ෙ,භාර්යාව,178
ශගිකෙ,වූ,178
,,179
බත,ස්වාමි,179
උතිය,උත්තියගේ,179
ලෙණ‌ෙ,ලෙණ‌,179
,,180
පරුමක,ප්‍රමුඛ,180
ශුමන,සුමනගේ,180
පුත,පුත්,180
පරුමක,වන,180
රශුමිලිය,ප්‍රමුඛ,180
ලෙණ‌ෙ,රම්සිමාලීගේ,180
ශගශ,ලෙණ‌,180
,,181
උපශික,උපාසිකා,181
පරිඣය,පරිජාගේ,181
ලෙණ‌ෙ,ලෙණ‌,181
ශගශ,සංඝයාට,181
,,187
ගමික,ගම්,187
තිශ,ප්‍රධානි,187
පුත,තිස්සගේ,187
ගමික,පුත්,187
මලිය,වන,187
ලෙණ‌ෙ,ගම්,187
ශගශ,ප්‍රධානි,187
,,201
ගණශ,සමූහයේ,201
ලෙණ‌ෙ,ලෙණ‌,201
ශගශ,සංඝයාට,201
,,202
ගපති,ගෘහපති,202
උතර,උත්තරගේ,202
පුත,පුත්,202
පුශ,වන,202
මලන,ඵුස්ස-මාලින්ගේ,202
ලෙණ‌ෙ,ලෙණ‌.,202
,,204
පරුමක,ප්‍රමුඛ,204
පුස,ඵුස්සගේ,204
ගුත,පුත්,204
පිගල,වන,204
සුමනහ,පින්ගල,204
,,206
පරුමක,ප්‍රමුඛ,206
වශුදත,වසුදත්තගේ,206
පුත,පුත්,206
පුශහ,වන,206
පදගඩ,ඵුස්ස,206
කම,විසින්,206
කර(පි)ත,කරවන,206
,,210
ගපති,ගෘහපති,210
ශුබගහ,සුභගේ,210
ලෙණ‌ෙ,ලෙණ‌.,210
,,212
ගණක,ගණකාධිකාරී,212
චලි,චලි-තිස්සගේ,212
තිශ,පුත්,212
පුත,වන,212
පරුමක,ප්‍රමුඛ,212
තිශහ,තිස්සගේ,212
ලෙණ‌ෙ,ලෙණ‌.,212
,,215
යශ,වෙස්ස,215
තෙරශ,තෙරුණ්ගේ,215
ච,සහ,215
ගපති,ගෘහපති,215
චුඩ,චුඩ-ශිවගේ,215
ශිව,පුත්,215
පුතා,වන,215
කොටගරික,කෝෂ්ඨාගාරික,215
චුලහ,චලුගේ,215
ච,ලෙණ‌,215
ලෙණ‌ෙ,සංඝයාට,215
ශගශ,.,215
,,216
පරුමක,ප්‍රමුඛ,216
පොල,පොල-සමුද්දගේ,216
ශමුදහ,ලෙණ‌,216
,,217
දනියශ,ධනියගේ,217
ලෙණ‌ෙ,ලෙණ‌.,217
,,218
බත,ප්‍රධානි,218
දමුතරහ,ධම්මුත්තරගේ,218
,,221
බත,ඵුස්ස,221
පුශහ,තෙරුණ්ගේ,221
[ස]දිවිහරි,ශිෂ්‍ය,221
තිශහ,වන,221
ලෙණ‌ෙ,තිස්සගේ,221
,,225
බත,ප්‍රධානි,225
උපතිශ,උපතිස්ස,225
තෙරහ,තෙරුණ්ගේ,225
ලෙණ‌ෙ,ලෙණ‌.,225
,,226
පුශ,ඵුස්ස,226
තෙරහ,තෙරුණ්ගේ,226
ච,සහ,226
කොටගරික,කෝෂ්ඨාගාරික,226
උතරහ,උත්තරගේ,226
ච,ලෙණ‌,226
ලෙණ‌ෙ,සංඝයාට,226
ශගශ,.,226
,,227
ගපති,ගෘහපති,227
රකි[ත]ශ,රක්ඛිතගේ,227
පුත,පුත්,227
උපලිය,වන,227
ලෙණ‌ෙ,උපාලිගේ,227
ශගශ,ලෙණ‌,227
,,238
පරුමක,ප්‍රමුඛ,238
අනුඩි,අනුඩිගේ,238
පුත,පුත්,238
පරුමක,වන,238
උතිය,ප්‍රමුඛ,238
ලෙණ‌ෙ,උතිගේ,238
ශගශ,ලෙණ‌,238
,,239
තිශ,තිස්ස,239
තෙරශ,භික්ෂුවගේ,239
දනෙ,ත්‍යාගය,239
ශගශ,සංඝයාට.,239
,,241
බත,ප්‍රධානි,241
නදහ,නන්දගේ,241
ලෙණ‌ෙ,ලෙණ‌.,241
,,242
බමණ,බ්‍රාහ්මණ,242
උතර,උත්තරගේ,242
පුත,පුත්,242
ගුතහ,වන,242
ලෙණ‌ෙ,ගුත්තගේ,242
,,245
බඩකරික,භාණ්ඩාගාරික,245
මඣිමහ,මජ්ඣිමගේ,245
ලෙණ‌ෙ,ලෙණ‌,245
ශගශ,සංඝයාට,245
,,246
පරුමක,ප්‍රමුඛ,246
ශෙනහ,සෙනගේ,246
ලෙණ‌ෙ,ලෙණ‌,246
ශගශ,සංඝයාට,246
,,249
අශි,ආයුෂ්මත්,249
පුශගුතශ,ඵුස්සගුත්තගේ,249
,,250
පරුමක,කොතළය,250
කුතරගය,දරන්නා,250
වෙලුහ,ප්‍රමුඛ,250
ලෙණ‌ෙ,වෙලුගේ,250
,,252
බුදරකිත,බුද්ධරක්ඛිත,252
තෙරශ,තෙරුණ්ගේ,252
ශුපදිටි,සුප්පතිට්ඨ,252
,,254
තිස,තිස්ස,254
තෙරහ,තෙරුණ්ගේ,254
ලෙණ‌ෙ,ලෙණ‌,254
ශගශ,සංඝයාට,254
,,255
බත,ප්‍රධානි,255
මහදතහ,මහාදත්තගේ,255
මනපදශනෙ,මනාපදස්සන,255
,,256
බත,ප්‍රධානි,256
ශුමනගුතහ,සුමනගුත්තගේ,256
ලෙණ‌ෙ,ලෙණ‌.,256
,,261
පරුමක,ප්‍රමුඛ,261
මහරෙතශ,මහරෙතගේ,261
පුත,පුත්,261
පරුමක,වන,261
නගශ,ප්‍රමුඛ,261
ලෙණ‌ෙ,නාගගේ,261
අගත,ලෙණ‌,261
අනගත,පැමිණියාවූත්,261
චතු,නොපැමිණියාවූත්,261
දිශ,සතරදෙස,261
ශගශ,සංඝයාට,261
දිනෙ,දෙන,261
,,265
පරුමක,ප්‍රමුඛ,265
නග,නාගගේ,265
පුත,පුත්,265
පරුමක,වන,265
රෙවෙතශ,ප්‍රමුඛ,265
ලෙණ‌ෙ,රෙවෙතගේ,265
,,267
බත,ප්‍රධානි,267
උපතිශහ,උපතිස්සගේ,267
ලෙණ‌ෙ,ලෙණ‌.,267
,,279
පරුමක,ප්‍රමුඛ,279
උතර,උත්තරගේ,279
පුති,පුත්,279
පරුමක,වන,279
පුලයශ,ප්‍රමුඛ,279
බරිය,පුලයගේ,279
උපශික,භාර්යාව,279
උතිය,වන,279
ලෙණ‌ෙ,උපාසිකා,279
,,280
අශ,ආයුෂ්මත්,280
(ඣි)තහ,ජිතගේ,280
ලෙණ‌ෙ,ලෙණ‌,280
ශගශ,සංඝයාට,280
,,283
අශය,ආයුෂ්මන්ත,283
නදහ,නන්දගේ,283
ලෙණ‌ෙ,ලෙණ‌,283
ශගශ,සංඝයාට,283
,,289
තිශ,තිස්ස,289
අයහ,කුමරුගේ,289
පුත,පුත්,289
මහ,වන,289
අයහ,මහ-අයහි,289
අයක,ආදායම්,289
ගමික,බදු,289
මහතිශ,එකතු,289
මරුමකන,කරන්නා,289
ගමික,වන,289
තිශහ,ගම්,289
ලෙණ‌ෙ,ප්‍රධානි,289
අගත,මහාතිස්සගේ,289
අනගත,මුණුබුරු,289
චතු,වන,289
දිශ,ගම්,289
ශගශ,ප්‍රධානි,289
පතිටපිටෙ,තිස්සගේ,289
(සංකේත,ලෙණ‌,289
